Year,Hispanic,White,African American
1999,1669,12328,2429
2000,1443,13171,2391
2001,1483,14949,2519
2002,1831,18406,2784
2003,2009,20375,2822
2004,1912,22024,2895
2005,2220,23604,3322
2006,2519,27274,3912
2007,2487,29217,3574
2008,2536,29966,3147
2009,2601,30303,3160
2010,2583,31711,3122
2011,2941,33961,3385
2012,3055,33823,3488
2013,3345,35581,3928
2014,3504,37945,4323
2015,4117,41720,5070
